nDCG,AUC,rND,GPA
0.6658414006233215,0.839028979367812,0.3118663426286252,0.1674353283724127
0.6939889192581177,0.830342527450341,0.302132106626383,0.1656201033083481
0.703409731388092,0.8385606071959563,0.32958728495712747,0.1509601111074167
0.7112265825271606,0.8368770020635404,0.3088422867283493,0.15997538461545624
0.7272030711174011,0.8365455784047723,0.3009448052431361,0.15082659300317802
0.7247350811958313,0.8437783052633623,0.3149932563325105,0.1535675393339564
0.7105857133865356,0.845848461208091,0.3219750644963932,0.15186285972030922
0.6903605461120605,0.8379026434921546,0.3041394800630517,0.1487147288229298
0.729493260383606,0.8365124513475009,0.30957874861191054,0.1499495914839507
0.7171607613563538,0.8495702737322023,0.33227390941843793,0.15802691315160522
0.7171607613563538,0.8495702737322023,0.33227390941843793,0.15802691315160522
0.7148106694221497,0.8391037663228317,0.3232494139161154,0.17014140950931267
0.7122706770896912,0.8356221683488383,0.3126048262565289,0.16614987212098864
0.7035974264144897,0.839279569600956,0.3236927435581754,0.18513472295783429
0.7298405766487122,0.8467804075789557,0.3167321273970186,0.16497209291395853
0.6738557815551758,0.8296548928379196,0.3093621855722661,0.1849968811753948
0.7122706770896912,0.8356221683488383,0.3126048262565289,0.16614987212098864
0.7105857133865356,0.845848461208091,0.3219750644963932,0.15186285972030922
0.7467716932296753,0.8495434337453187,0.3126066188374938,0.16364188993909312
0.7308967113494873,0.8377833350064527,0.3017644416977982,0.15458147694543678
0.6907086372375488,0.8388115021179537,0.30896437603006455,0.17066312725696353
0.7235291004180908,0.8515861140911777,0.31664358496873035,0.1424450009926237
0.7126834392547607,0.8498188570652339,0.31956135327700336,0.17219665825099195
0.7051767110824585,0.836024538582507,0.3018354033801091,0.15049575626567735
0.6814886927604675,0.834658999725626,0.3075097413038439,0.1909575236020804
0.6903605461120605,0.8379026434921546,0.3041394800630517,0.1487147288229298
0.7249554991722107,0.840839559760946,0.31777367885025243,0.1527661394884373
0.7496792674064636,0.8474014613377554,0.33090271313849134,0.19224026110103754
0.7304692268371582,0.8338314894970598,0.29053943204261445,0.14563824259224156
0.743346631526947,0.8546548716522856,0.33971458718433567,0.19735361744121194
