nDCG,AUC,rND,GPA,Schedule
0.9004183411598206,0.8961893032377362,0.2748286754493078,0.05534258717980256,[1; 1]
0.9030494093894958,0.9004050422198585,0.3373960200347341,0.12114573484774127,[2; 1]
0.9259949922561646,0.9002241404493269,0.31448724814807505,0.10913471152010246,[3; 1]
0.9068469405174255,0.8978875516139992,0.3423200176893592,0.14015590495738184,[4; 1]
0.9110668301582336,0.9009230820355075,0.31223538433320014,0.1002472046105537,[5; 1]
0.906339384317398,0.8947343609807568,0.33794711354340023,0.14218078604406836,[6; 1]
0.8695306777954102,0.898111859505335,0.31628609426577753,0.1135461008967602,[7; 1]
0.896729588508606,0.8944395342433077,0.2431485784706503,0.020781842088467672,[1; 2]
0.9044641852378845,0.9000869668034626,0.2990906231845469,0.08633850575301061,[2; 2]
0.8968848586082458,0.9012278908927261,0.31039742206019955,0.10169973494764017,[3; 2]
0.9096066951751709,0.9019348181747223,0.3426889845370241,0.12456497958454316,[4; 2]
0.9058308601379395,0.896492244472546,0.31843265387889064,0.10000728795459402,[5; 2]
0.9046096420288086,0.9029593056669332,0.3311200916597132,0.11799650552158059,[6; 2]
0.8847395181655884,0.8994629233159392,0.3474873898667645,0.13427787775182964,[7; 2]
0.8854275941848755,0.8818811259625017,0.1898270443881041,0.019303669464760476,[1; 3]
0.9086745381355286,0.898398636146196,0.26437211113351416,0.0485182567888891,[2; 3]
0.914309024810791,0.9019835051588883,0.3063470204186872,0.08490853360469708,[3; 3]
0.9218332171440125,0.8981871440086284,0.29593338183965323,0.08836678777762186,[4; 3]
0.8977357149124146,0.8956914852647168,0.32084661317869767,0.11489066892753663,[5; 3]
0.8884828686714172,0.8961196216016678,0.2920352839932662,0.0980495182565917,[6; 3]
0.9244915246963501,0.8990905580481519,0.3110582600194484,0.10726405933480254,[7; 3]
0.9008776545524597,0.8676790811606874,0.14368381189405047,0.04946165055492402,[1; 4]
0.8908342123031616,0.8877917000799344,0.2187953321242868,0.00993507366295332,[2; 4]
0.9115157723426819,0.8935411434640557,0.2574553049442645,0.03901160001334314,[3; 4]
0.8933647871017456,0.8939646429453718,0.2790650309837061,0.07681557038209175,[4; 4]
0.9254071712493896,0.8984659993544466,0.3054109701215465,0.09059332421112742,[5; 4]
0.9107457399368286,0.8970528531989538,0.29878047685857395,0.0939181419415187,[6; 4]
0.8711385726928711,0.8914439323008773,0.2880265372808084,0.08377553689413164,[7; 4]
0.9013699889183044,0.8753401970818208,0.1339480824266669,0.0679040053646307,[1; 5]
0.9059460759162903,0.8903855056014505,0.21424583255002871,0.015544245102036669,[2; 5]
0.8987574577331543,0.8972031002016775,0.27827803069099766,0.06154479829017179,[3; 5]
0.9032021760940552,0.892334916991268,0.24606669680970542,0.03507458717895595,[4; 5]
0.902734637260437,0.893021944434498,0.3038575916622601,0.0943423276157469,[5; 5]
0.8838779926300049,0.8911878748285973,0.29038221908390116,0.08237524310797273,[6; 5]
0.8977116942405701,0.8939138951364795,0.30369614747448737,0.09301080410625362,[7; 5]
0.8922377228736877,0.8753396174748663,0.12531120183575284,0.062166179666210186,[1; 6]
0.9006729125976562,0.8893836227804596,0.21821108368969006,0.009733675928759733,[2; 6]
0.8962316513061523,0.8941912048637525,0.2430214078278125,0.041462062776374764,[3; 6]
0.9049063920974731,0.8914079322689346,0.25912801389189777,0.05516713501616022,[4; 6]
0.8911321169137955,0.8917268448953758,0.28158211140755296,0.06958851528595678,[5; 6]
0.911785900592804,0.8978585712662813,0.2920727420214589,0.07899883035206035,[6; 6]
0.8831967115402222,0.8961059686378542,0.2917945408284099,0.08129408325112575,[7; 6]
0.8765227794647217,0.8666663146091094,0.15459797542675535,0.0521310918011495,[1; 7]
0.8860133290290833,0.8757626017500009,0.2022308696275163,0.0021716277840339027,[2; 7]
0.8979672193527222,0.8821736986729061,0.1872594838400245,0.00016363561050847242,[3; 7]
0.9096372127532959,0.8942087218739285,0.26673756518529634,0.06292481108918913,[4; 7]
0.8875770568847656,0.8907483395548774,0.2651656565745962,0.06104980770638191,[5; 7]
0.8868164420127869,0.8921127343254316,0.2728144852060705,0.08569481385539035,[6; 7]
0.8707470297813416,0.8871914848783122,0.28455384243844073,0.09085082805473588,[7; 7]
0.0655677629262209,0.4896367564576587,0.09789512216937568,0.0963380789066744,BaseDR
