nDCG,AUC,rND,GPA
0.8780760049819947,0.8691758508918301,0.12071495613097394,0.08106195229793256
0.8686011433601379,0.8652539034081943,0.11667943360812501,0.05938478939195024
0.885224461555481,0.8604319325909796,0.14950814221670009,0.052713436864733954
0.8688026964664459,0.8662721391804056,0.1354564461256083,0.05750722380874962
0.8644860327243805,0.8579302718792391,0.11242485017097384,0.0930847232028551
0.885224461555481,0.8604319325909796,0.14950814221670009,0.052713436864733954
0.8595905303955078,0.86116283534098,0.15278918960810656,0.0446697503319915
0.8675313591957092,0.8756508814479829,0.1775434944252619,0.023719838947430794
0.866014301776886,0.864638039823176,0.09227296361113589,0.08929180410262305
0.8706917762756348,0.853644286292919,0.09250827989413266,0.10713345377891748
0.8644855499267579,0.8579302718792391,0.11242485017097384,0.0930847232028551
0.8461725115776062,0.8597609177401921,0.09610691785457345,0.08336451792019384
0.8863273859024048,0.8712661462923329,0.11409009979633351,0.06659807643261184
0.8745496273040771,0.8649607066244492,0.10108621481440898,0.07742459525784773
0.8690828680992126,0.860920955734066,0.11735804909309429,0.06153867248845235
0.8243948817253113,0.874794088552899,0.11213158645413016,0.04714716816405973
0.864724338054657,0.8582944711790391,0.10926373176589606,0.08219643954202505
0.885224461555481,0.8604319325909796,0.14950814221670009,0.052713436864733954
0.8812424540519714,0.8712994786072761,0.13211704674451025,0.06525848130325362
0.8565719127655029,0.854185384504043,0.10566717865534822,0.10292542489255485
0.8564686179161072,0.8610885345843154,0.09019365672391341,0.07248017987098843
0.9153880476951599,0.8760401273247925,0.11382320461992042,0.06438467543652837
0.9077297449111938,0.8553466098460256,0.12109605692574646,0.09978259098172482
0.8761290311813354,0.8709371027857569,0.12993461738671946,0.06638558622467039
0.8564686179161072,0.8610885345843154,0.09019365672391341,0.07248017987098843
0.8686011433601379,0.8652539034081943,0.11667943360812501,0.05938478939195024
0.8863273859024048,0.8712661462923329,0.11409009979633351,0.06659807643261184
0.8687973856925965,0.8662721391804056,0.1354564461256083,0.05750722380874962
0.8688194394111634,0.8662721391804056,0.1354564461256083,0.05750722380874962
0.8700177073478699,0.8637951097025094,0.10348605117112201,0.07355119814347433
