nDCG,AUC,rND,GPA
0.9034592509269714,0.8724475719749476,0.13303910985463047,0.05719604974391512
0.8791266083717346,0.8610614639906904,0.08479465407042429,0.09472940322712353
0.8801445960998535,0.8715774340445965,0.12398017867679294,0.06277648553931636
0.8541218042373657,0.8644676118047998,0.12073641211607258,0.056946461261113024
0.8628740310668945,0.876435395944521,0.13681910083572485,0.05301860423645044
0.8551758527755737,0.8613343876770366,0.09680503256780706,0.08778624152451775
0.8602655529975891,0.8495871654880119,0.12568535096149186,0.07260771840055047
0.8551758527755737,0.8613343876770366,0.09680503256780706,0.08778624152451775
0.877343475818634,0.8692567334937292,0.12786932896730469,0.06117787302004396
0.8947582244873047,0.870418538153017,0.15436685767617317,0.03032656873159001
0.8670427203178406,0.8516021882297513,0.11022715541966736,0.09064315941557566
0.8644328117370605,0.8636233625260055,0.12114693884245194,0.05005424962854088
0.845470130443573,0.8714564296943518,0.13311034454932075,0.042368645044930764
0.8709583282470703,0.857410273272479,0.10262462229445295,0.08146509216836006
0.8853132128715515,0.8614550393027799,0.11421959262773358,0.07109534113826932
0.8690889477729797,0.8613884811805692,0.10709769404881733,0.07449329115595371
0.8736381530761719,0.8657215875779027,0.10960521336255236,0.06951979100182382
0.8634257912635803,0.8627211652280612,0.12368108018020223,0.06450333382818763
0.904585063457489,0.8629892239131882,0.11460938175182629,0.05848739501691558
0.848200261592865,0.8667606012906564,0.08929300058599234,0.08319029766483954
0.8582767844200134,0.8628263753230694,0.10184163856217814,0.08153940956659789
0.8551758527755737,0.8613343876770366,0.09680503256780706,0.08778624152451775
0.904585063457489,0.8629892239131882,0.11460938175182629,0.05848739501691558
0.8709219098091125,0.8622170938436915,0.10623097320262438,0.07526949515646064
0.8653940558433533,0.8729797935288934,0.11754752713398878,0.05511288455524743
0.9042650461196899,0.8781485962257514,0.13917791453031333,0.05984559364165731
0.8773688077926636,0.8720248702996546,0.14024142738278786,0.04829787400651997
0.8582767844200134,0.8628263753230694,0.10184163856217814,0.08153940956659789
0.8731597661972046,0.85980929816207,0.1054027530820825,0.05643449233959674
0.9022412300109863,0.8667833964252136,0.11277555478737586,0.08842693949374436
