nDCG,AUC,rND,GPA
0.8860437512397766,0.8898533468512013,0.26428381176653665,0.05566474359799378
0.8927292823791504,0.8894772717524375,0.2859503386787451,0.05946924453954072
0.8821222364902497,0.8928988058528562,0.263078272356246,0.04330014836399387
0.9030749797821045,0.8925215526775282,0.25507701039336894,0.05932840274323781
0.8650459945201874,0.8954106213176245,0.27955110040112074,0.06663692204963956
0.8787715673446655,0.8895789068976331,0.27587990095253334,0.08504630224922305
0.8927292823791504,0.8894772717524375,0.2859503386787451,0.05946924453954072
0.9057542204856872,0.8911403420132044,0.257638594092934,0.04610897066184039
0.8957790732383728,0.8897136430210167,0.24391660007498514,0.04313167422700526
0.899546205997467,0.8906591634626002,0.2515704015943031,0.05620928659557389
0.9283539652824402,0.9007118626349881,0.2611864854744654,0.03636410850720506
0.8957790732383728,0.8897136430210167,0.24391660007498514,0.04313167422700526
0.9025512337684631,0.888124229047306,0.2157498589198002,0.020098576779780775
0.9283539652824402,0.9007118626349881,0.2611864854744654,0.03636410850720506
0.8636249363422394,0.8954106213176245,0.27955110040112074,0.06663692204963956
0.8951310515403748,0.8938181250934334,0.22546482034953122,0.018290504405645724
0.8937795162200928,0.8756843434993117,0.24969900544469698,0.02618837142016217
0.8933103084564209,0.893016508111252,0.25255844667667937,0.04256616622181253
0.9169745504856109,0.8952083234503754,0.2812335596800331,0.08505688953450996
0.8992650508880615,0.8900404376517617,0.2677359634481719,0.05338039999300104
0.8819330930709839,0.8948188986871497,0.26272352904970975,0.05322118336683446
0.9211776256561279,0.8957768739193687,0.28163640346956903,0.06980096815999381
0.8948481559753418,0.8939799784427132,0.31074217570251583,0.10873893383112532
0.8933103084564209,0.893016508111252,0.25255844667667937,0.04256616622181253
0.9072041511535645,0.8938531156764238,0.24098802495967311,0.034893613122626066
0.9090331792831421,0.8916402682186404,0.2677277316312946,0.03906879533555052
0.9300869703292847,0.9007495078256533,0.281963319735206,0.07049168728612387
0.8927292823791504,0.8894772717524375,0.2859503386787451,0.05946924453954072
0.8914441466331482,0.8909258211184203,0.24981901973319207,0.04618580521951232
0.88941410779953,0.8792375501866324,0.2288811128043001,0.015344205138116296
