nDCG,AUC,rND,GPA
0.7452272545578412,0.0762134544422367,0.0632890238041932,0.0005094319540090986
0.7997377497461307,0.06482525366403608,0.046688859621996384,0.004069784024740453
0.7402407802882653,0.0762134544422367,0.0632890238041932,0.0005094319540090986
0.7963224358447863,0.10776836158192088,0.02467225546505557,0.00027903833936282485
0.8013636022068079,0.05616864742501415,0.05244499192616019,0.0005491569550754027
0.7974510233932479,0.061296715741789354,0.05314796223143333,0.0030842077799669854
0.7933663222122641,0.05919003115264798,0.06482551684025564,0.00024733135788124194
0.8117495033145927,0.11452117078715546,0.030906728861390804,0.0036808657392704003
0.8251670820555745,0.05449438202247192,0.0913716556959697,0.004493741096282755
0.7643240738500453,0.057993730407523536,0.05835857218609197,0.001759421191426136
0.8080065161598874,0.06576704545454548,0.03774310795350676,0.0009505876177812178
0.8120993294487772,0.06174231745136738,0.07332129730837945,0.001632961285398138
0.7321614759979214,0.10521070615034167,0.03151659273452783,0.0022618031308413444
0.8006626777491345,0.05050933786078099,0.0639385192681006,0.0025014846983022476
0.6593183177183302,0.06465394474508684,0.09455894536244273,0.010849713676220563
0.7903167922941974,0.07045647859370568,0.06693687315983274,0.0008357811591512831
0.8046689234982966,0.10812730889457234,0.049005439498421045,0.009174188572613762
0.6445999164803246,0.06590460062094272,0.03950179598787434,0.003976624407933227
0.8015032401889121,0.05050933786078099,0.0639385192681006,0.0025014846983022476
0.6726941345229964,0.05324858757062145,0.02860572669591711,0.0016315711489935936
0.8102043252388983,0.0048268029528676926,0.05966520262856687,0.0022479966529110884
0.7859867073625233,0.058632382028821706,0.06340618813775886,0.0012160469993119927
0.8033863364736987,0.06482525366403608,0.046688859621996384,0.004069784024740453
0.8452835585666438,0.0806041784302654,0.08176371792797978,0.002248069180529222
0.7874982522440004,0.0606446140797286,0.03289761905948919,0.005892192415251074
0.72950725465766,0.06898517673888255,0.04607318082791434,0.0002675316323155208
0.6573412866265975,0.06465394474508684,0.09455894536244273,0.010849713676220563
0.8022762419633314,0.06963827969239533,0.05268134990025107,0.003554132932437337
0.7098396425293572,0.06776034236804562,0.026493102197566586,0.0035308115426572195
0.7647706634136274,0.057993730407523536,0.05835857218609197,0.001759421191426136
