nDCG,AUC,rND,GPA
0.6578705546191074,0.14321881212723658,0.33701910184332096,0.18088697550633304
0.66387341747065,0.12270673070112058,0.26422043386573923,0.16584773032104894
0.6561645011264524,0.16674757281553398,0.29497896983220073,0.19571746111188315
0.6550970104751899,0.16674757281553398,0.29497896983220073,0.19571746111188315
0.6588315523753182,0.1271228625627273,0.3603577263435348,0.2091576534556583
0.6965000341576056,0.129337147692987,0.2650046887257359,0.1646591109824631
0.6546905078386432,0.13400076014097162,0.320745197720394,0.17376757258836606
0.642462268709287,0.11648095361492615,0.25076423179031027,0.14567218411673544
0.6573480064027399,0.1327419588787758,0.31686142534028283,0.1764180649849595
0.6641089098906489,0.1383965886069673,0.3071781795689371,0.169458781587849
0.6848840761005436,0.13612543278639172,0.29511005698237647,0.17571542187636313
0.6468746045974415,0.12302180524769318,0.28594477935440993,0.1316669387194742
0.6645328048566371,0.1383965886069673,0.3071781795689371,0.169458781587849
0.657670104986232,0.1327419588787758,0.31686142534028283,0.1764180649849595
0.6670666693783397,0.1253239846989847,0.2585733467864903,0.11224232584686888
0.684837285335646,0.13612543278639172,0.29511005698237647,0.17571542187636313
0.6169847130094137,0.12050818650247322,0.2058680153247056,0.11871679105058952
0.6620780857523034,0.1377822016846844,0.31904517520180786,0.14660431202967927
0.6240016810667461,0.12147256202100988,0.22815966142952,0.11300247783577955
0.6500829381654661,0.12156205014597132,0.24464521077492307,0.1263341065118304
0.6420008325281217,0.11562902205938409,0.26585946677470723,0.16291007369806987
0.5860088412674658,0.1555345763511919,0.3047897647101489,0.16381311841652813
0.656003683140453,0.1315878536344245,0.3537841311548671,0.2066712193198843
0.6017835999298542,0.11353013129682944,0.2518715738890597,0.13892182242311324
0.6651721456545177,0.1283831052944676,0.35985258408746895,0.2084742493312779
0.6621760610612967,0.14132431665651207,0.3394734968764662,0.19309435298090305
0.6453871390995733,0.13668278306429865,0.2938037984974659,0.1548840240969016
0.7014851160887493,0.13294799085234665,0.2711787967225273,0.15291578931702787
0.6154131454625773,0.17495998601810286,0.28387919622263336,0.1628066451636503
0.6016471594278425,0.11353013129682944,0.2518715738890597,0.13892182242311324
