nDCG,AUC,rND,GPA,Schedule
0.6754911926929008,0.13623931766035974,0.30523457896231154,0.14557966457774763,[1; 1]
0.6795588823067393,0.1316567186512819,0.3209915916963872,0.16434382963943017,[2; 1]
0.6956684334748405,0.12571700528713464,0.35510268498494374,0.17108613312820986,[3; 1]
0.7049144662906928,0.13191234662321685,0.3568358894419013,0.16515085002270413,[4; 1]
0.6726688789578174,0.12577311874438865,0.3203111818947496,0.17480211889130237,[5; 1]
0.7363241803783123,0.13277690952016757,0.358044884025292,0.16056591368490125,[6; 1]
0.6851471593452015,0.13833006351212052,0.334256289315226,0.17905154635570664,[7; 1]
0.5653226889187682,0.17503242110863565,0.24128860119790618,0.1190613482438726,[1; 2]
0.7110230212676746,0.1346265753333555,0.30779724968760225,0.1541694730620602,[2; 2]
0.6805928438244788,0.1284665646925814,0.3038360896249643,0.15413867102249712,[3; 2]
0.6786982635899035,0.1398783792770924,0.3301442295715282,0.16142965819087685,[4; 2]
0.6583758329457281,0.1382095234928341,0.3188182632730147,0.1778271333631265,[5; 2]
0.7047149393109556,0.12820885844445185,0.3500117593792971,0.16810327528649183,[6; 2]
0.7070265010290784,0.1407741163169621,0.3636485602180087,0.182956549285608,[7; 2]
0.49702739205342666,0.25647590862235226,0.18931117353805235,0.11521318926755342,[1; 3]
0.5804536969780246,0.20895820170917434,0.24202722352823514,0.1587511150768658,[2; 3]
0.647024964954939,0.1644477604495727,0.281434564895798,0.1638801845430783,[3; 3]
0.6719892100366575,0.13078592092574734,0.3500070220302174,0.16097895616033409,[4; 3]
0.6333060470578791,0.1459199281747747,0.3327923691779484,0.1628142683355711,[5; 3]
0.7139053706695073,0.1277578725102251,0.3238756237692159,0.15632172587255222,[6; 3]
0.6539608043567979,0.14814991853157317,0.34509658789729447,0.1758153626492165,[7; 3]
0.2782459087955931,0.35191035147807004,0.06908115079985422,0.05300102934108464,[1; 4]
0.4931172387946604,0.23481611412230238,0.18603808296186528,0.1278688231286934,[2; 4]
0.6096660130627671,0.1858851793968011,0.23045838190572482,0.1430916337310999,[3; 4]
0.6301895372187449,0.15432239882951487,0.2568742672470171,0.1563854740741455,[4; 4]
0.7071547230518931,0.1402192165730057,0.3388893570311696,0.1705035210252056,[5; 4]
0.6862875272747397,0.13991163169620593,0.32963328367760847,0.15454398225219645,[6; 4]
0.7006759654270651,0.13457669670468525,0.35116633910775114,0.17878104184443133,[7; 4]
0.4645549410821567,0.16815748345692147,0.2031812111099548,0.12384119069310351,[1; 5]
0.5092224712571986,0.23389335949190304,0.19220307310971935,0.11121861005915257,[2; 5]
0.5544695479297954,0.27012810494463474,0.2711767225751463,0.1427941996821831,[3; 5]
0.6863405471629059,0.15658771988162137,0.28810649570515484,0.12056386547946485,[4; 5]
0.579287165364746,0.1368731918997107,0.22825939308117607,0.15833163301666342,[5; 5]
0.6451391107839013,0.14503250423968342,0.2855996140210567,0.13907490619885177,[6; 5]
0.6871242801918324,0.14765736707345462,0.32869497143596266,0.16072081094248303,[7; 5]
0.6898060360317254,0.1297571742094237,0.3599400016349439,0.18690867067407058,[1; 6]
0.5052065440351606,0.21547983240780766,0.18923784862580462,0.1295583567861749,[2; 6]
0.5703053719320195,0.21404790010973296,0.3017416838041644,0.15498812822767638,[3; 6]
0.5738295749759406,0.32303062547800354,0.19131564476713245,0.11477487993332114,[4; 6]
0.49828992456201904,0.23746591627040867,0.18930050965492506,0.12473170153396251,[5; 6]
0.606959814802697,0.1646929970405347,0.27438318601685663,0.14257329455497358,[6; 6]
0.46614035408511634,0.22961418880723572,0.1667823182567083,0.07105486202280997,[7; 6]
0.4418905885211761,0.28448899344927336,0.17170323036341398,0.08126729087602813,[1; 7]
0.3586806036739693,0.3212162903601238,0.1079717717147172,0.037176398149232126,[2; 7]
0.5088052490844412,0.25011014863831343,0.16382323235633273,0.13226759742322336,[3; 7]
0.5058137386011392,0.28805739367538985,0.1676662006367805,0.09927528541535435,[4; 7]
0.37006117471941347,0.2445653077511389,0.16430688508598806,0.11855394306610734,[5; 7]
0.6545980538795079,0.1601124763076514,0.3404578377745994,0.15803655667922878,[6; 7]
0.64588442706237,0.18621146875935227,0.32640697095292126,0.1781066378659527,[7; 7]
0.5150571755455435,0.3201854653676055,0.20975882547159425,0.07875057619741821,[[1; 0]; [1; 5]]
