Main Accuracy,AUC,Sensitive Accuracy,rND,GPA,nDCG
0.8529095654844158,0.7131409781890284,0.662521111622908,0.12161834532758785,0.012123630606010849,0.8475735783576965
0.8426224474128666,0.7349305547810694,0.670351604483341,0.09573267176876873,0.01115913354436912,0.7716401815414429
0.8433901427913404,0.7282627600508396,0.6737294641486258,0.09080399953550801,0.014398908512578856,0.7529075145721436
0.8542914171656687,0.762306008108955,0.670351604483341,0.1667110705581011,0.13230973567007903,0.7973283529281616
0.8492246276677414,0.744266775777414,0.6698909872562567,0.1363853119020631,0.04998200876923403,0.785273551940918
0.8529095654844158,0.7675562981896772,0.6648241977583295,0.15245364154384,0.009839222685706361,0.7757413983345032
0.8323353293413174,0.6983722755806445,0.6682020574236143,0.044020750302613876,0.19471395737054065,0.7755917310714722
0.8464609243052357,0.7392085604684029,0.6774144019653001,0.10165351477840802,0.03874373148145338,0.7471066117286682
0.8512206356517734,0.7847063055512077,0.6737294641486258,0.19181917978942722,0.15126628035290424,0.7483545541763306
0.8426224474128666,0.7335883977547342,0.6717334561645939,0.13531447353718717,0.06806354227318495,0.750603199005127
0.8354061108552127,0.7044696132071911,0.672961768770152,0.10731271332243619,0.028613629920800465,0.7683693170547485
0.8372485797635498,0.7552796092796094,0.665745432212498,0.1339949437245037,0.20466809371463657,0.70992511510849
0.8406264394288346,0.724290706413796,0.6701980654076463,0.07115924174099005,0.11610021258932962,0.7656211853027344
0.8478427759864886,0.7395515340392628,0.6737294641486258,0.136843182719442,0.050078195269739806,0.729289710521698
0.8490710885920467,0.7556479593694732,0.6678949792722247,0.1635500405897075,0.01194068887218419,0.7293952107429504
0.8377091969906341,0.7425440052455835,0.6697374481805619,0.054850060565340225,0.0395469198631585,0.6709582805633545
0.8389375095961922,0.7053804229971151,0.6697374481805619,0.11893445311204896,0.02287534537501759,0.785065770149231
0.8404729003531399,0.7429444902831573,0.6795639490250268,0.08780962552059635,0.011534975391135127,0.7388780117034912
0.8450790726239829,0.7731166330168431,0.6666666666666666,0.18959068642613142,0.07342874367990604,0.7112182974815369
0.8400122831260556,0.6988590152105387,0.6712728389375096,0.12573041172034002,0.05745176451552092,0.8148175477981567
0.8522954091816367,0.7793450376496824,0.6663595885152771,0.15610227298581453,0.10092923740998772,0.7711685299873352
0.8475356978350991,0.7492908274983939,0.6760325502840473,0.15227470355475084,0.08304199828982847,0.7705240845680237
0.8458467680024566,0.7397752084330614,0.6678949792722247,0.12290927498350296,0.08844093145719156,0.7194597125053406
0.8404729003531399,0.7487910152584701,0.6815599570090588,0.11950194667335003,0.05557471759257401,0.6750180721282959
0.8389375095961922,0.7373623257591937,0.6725011515430677,0.03988403617816006,0.04169093108928884,0.7089962363243103
0.8499923230462153,0.751155990752074,0.6815599570090588,0.16423531669742383,0.09295515416796055,0.7819617986679077
0.8400122831260556,0.7289242086107576,0.6797174881007216,0.07560989014235771,0.0005219685326508239,0.7577553987503052
0.8441578381698143,0.7442881562881563,0.665745432212498,0.09250137228748484,0.10311550702893882,0.7701703310012817
0.841087056655919,0.7287997446854311,0.6694303700291724,0.08027795950651284,0.04128255625647137,0.7418240308761597
0.8369415016121603,0.755587713721685,0.6698909872562567,0.10814933226186922,0.023523588685607777,0.6867508888244629
