nDCG,AUC,rND,GPA
0.9231879642002113,0.023738615875025373,0.05507968769744703,0.0037880771475796715
0.9456724159867982,0.013522896419848664,0.058016669360677876,0.0009884334903537129
0.9199652326227918,0.01689150329824723,0.07011154871366633,0.0037133510254639956
0.9292018207510259,0.017682205461405545,0.084578205169137,0.001366375181052537
0.9265027480824654,0.012896825396825396,0.0783347207103144,0.0043577046423234345
0.931271477473414,0.02083345035415181,0.05478391298266974,0.002908024633144768
0.894442936354205,0.03642204083987079,0.06820582836883994,0.006174735155593192
0.9612211633938298,0.011113269376728857,0.027316706994583623,0.000728812296418524
0.9166541102506428,0.018158945468467975,0.10346914213286755,0.002207793921025103
0.9212104314575869,0.02422407887290382,0.0678716518419983,0.0016468960312772118
0.9747622298234931,0.007833266179955015,0.08307380633702481,0.0019502644349850273
0.9231879642002113,0.023738615875025373,0.05507968769744703,0.0037880771475796715
0.9574227297270301,0.006983280500276186,0.061945473100395554,0.0006258193305930249
0.9270259356429792,0.019424055149463552,0.06293275732191712,0.0030409976693910323
0.9706773243934051,0.008838984643943937,0.0353119313049773,0.0017368735373118893
0.9519095537747586,0.015000573700231496,0.04221403896206782,0.001074397584596265
0.9390077858475767,0.018539435867528382,0.07362021148964379,0.0017079713264228635
0.9398626550675233,0.014943476212906268,0.07093626040681376,0.004209770772850452
0.95016044813188,0.01159963060247965,0.06705603460445855,0.00047209043680640495
0.9231879642002113,0.023738615875025373,0.05507968769744703,0.0037880771475796715
0.9001623029368313,0.025025782250478815,0.03716410071259199,0.0023060454701995248
0.9436115291244005,0.013856338143990782,0.060447466061678445,0.00433490994818575
0.9206398573729567,0.01950398731045723,0.072915600428038,0.003895547654025666
0.9776647684828403,0.0068089206614436425,0.05656583224197513,9.213317447298586e-06
0.917596923800801,0.015220012508569573,0.028422703898622153,0.0015610982954756825
0.9538632339406469,0.011352014795343337,0.06611049985425378,0.002635902417120972
0.9281850459322353,0.014277007936819987,0.08929091700445999,0.001503432228253665
0.931271477473414,0.02083345035415181,0.05478391298266974,0.002908024633144768
0.9520079826109386,0.010136052669348226,0.06569659768229662,0.002323957183736569
0.9474291752950449,0.011437974121332538,0.06432559435502694,0.00042738016377086296
