Main Accuracy,AUC,Sensitive Accuracy,rND,GPA,nDCG
0.9432805314256515,0.9990555248385823,0.9358712314767501,0.3673639556819539,0.08965898797020533,0.9853483602597042
0.9138988247317322,0.9974325543294134,0.9315278487480838,0.3485059136503396,0.046819574525336416,0.979843525804807
0.9049565661727134,0.9972504186619162,0.9299948901379663,0.322225872839753,0.04925746283228283,0.9704457383107628
0.9024016351558508,0.9972529259342892,0.9289729177312213,0.3878154693753771,0.07659627169898142,0.9885597686224618
0.9312723556463975,0.9987580973243002,0.9399591211037301,0.3513482774558256,0.12533028797612378,0.9859671883194422
0.9297393970362801,0.9985868272055003,0.9356157383750638,0.36820133124382615,0.03933314867307225,0.9817369044847393
0.959887583035258,0.9993126631786025,0.9335717935615738,0.331655265886492,0.08501660947981238,0.9806130509040529
0.955799693408278,0.9992943006174126,0.9269289729177312,0.39759617733414915,0.060428088269236735,0.9927071591625911
0.9652529381706694,0.9995434261508243,0.9289729177312213,0.39352316250644537,0.1649316761840156,0.9896435854331384
0.956821665815023,0.9994666979587162,0.9356157383750638,0.3534334501490771,0.17072338721974878,0.9872394187755652
0.9207971384772611,0.9979958037645386,0.9302503832396525,0.33032483792267564,0.03505119668620138,0.9683411102757544
0.9011241696474195,0.9971053242550936,0.9345937659683189,0.35106396741382495,0.14254068368970096,0.9692654072135222
0.959887583035258,0.9995470548059082,0.9399591211037301,0.365635700936353,0.19602875785058738,0.9883819992548433
0.913643331630046,0.9976475385781874,0.9310168625447113,0.3619978886804283,0.04827697615013249,0.9856859056604941
0.9563106796116505,0.9993351588724251,0.9322943280531426,0.3534273006873752,0.03095093895145029,0.9815224204470481
0.8699540112416965,0.9960673939130315,0.9315278487480838,0.44339226032197226,0.1623754249666456,0.9857481324087204
0.9483903934593766,0.9990523747502168,0.9399591211037301,0.35791633270132156,0.10659187678423682,0.9840295420384583
0.9575881451200817,0.9991458471747215,0.9348492590700052,0.31251075196945477,0.051415556993595624,0.9850071559967263
0.8939703628002044,0.9968048056859166,0.9376596831885539,0.36196784242411306,0.04098025620585699,0.9713572310374904
0.9389371486969852,0.9985042615244735,0.9335717935615738,0.3198870402102022,0.09588701811783207,0.9758199418410975
0.9624425140521206,0.9995081759860689,0.9353602452733776,0.427056024421392,0.11905990059929528,0.978168458747473
0.8461931527848748,0.9945377478239397,0.9351047521716913,0.4302026053630638,0.07300150883303713,0.979442959253595
0.9113438937148697,0.9973230199773407,0.9363822176801226,0.3436359785323667,0.07043263183220577,0.9869454229646288
0.9320388349514563,0.9988387055039916,0.9371486969851814,0.3007539528919092,0.06382639908818832,0.9755652723838028
0.9609095554420031,0.9995923312561175,0.9305058763413387,0.3716639755638644,0.07520090365890497,0.987136821462303
0.9338272866632601,0.9987016800889457,0.9305058763413387,0.3375916356970514,0.012469584764251196,0.9779962832841078
0.9305058763413387,0.9987761586574584,0.9299948901379663,0.3508454985354417,0.15085819169155268,0.9900493516256639
0.9575881451200817,0.9995209263900071,0.9274399591211038,0.35903995980048836,0.051445722302158825,0.9871610850108875
0.9489013796627491,0.9988982307486267,0.9325498211548289,0.39177552828437134,0.029400214958496762,0.9763525414016692
0.9455799693408278,0.999091454467473,0.9269289729177312,0.38151414415958257,0.02946214256433355,0.9888630521740472
