nDCG,AUC,rND,GPA
0.6824657083324156,0.13898924213230573,0.323105703667109,0.18176483152484912
0.6737416562925559,0.13107482906546689,0.360972669814304,0.18873566464183422
0.682191014531178,0.11503691191191188,0.342333778831169,0.14916983941031448
0.6664835316461913,0.13546183892479002,0.3059264292168238,0.17142689146681211
0.6141025301997389,0.13541977458240745,0.3109072618697159,0.16557663956343138
0.6687516625465111,0.15237637133088539,0.3537534333273784,0.17876819802140875
0.6477639473220458,0.14439504941810813,0.3150732760600943,0.16003161594060933
0.695631407581891,0.1368845423332603,0.3774369122753011,0.1844312138871229
0.6662378241256911,0.13554773905791057,0.32222370828601526,0.15650656000242757
0.6690846738488367,0.15000973051117625,0.34051280875957224,0.16319393488437817
0.6669718239111853,0.15237637133088539,0.3537534333273784,0.17876819802140875
0.7033550920825989,0.12856578353153697,0.32574898239211875,0.17555817821941766
0.6371978659333033,0.12492784594033628,0.3076929235285549,0.16655727547889787
0.6690984457611837,0.13732729925161125,0.31681348148361493,0.15047113564124914
0.6616339140319841,0.13689540611753923,0.3193103480468348,0.1798937048255178
0.6217232964486931,0.12246648140250904,0.31397667815600727,0.15491045939725945
0.6766128912485286,0.12058666570996775,0.3177005833382653,0.16318663562379876
0.6963178327352193,0.12531502701526634,0.363481208257451,0.19624696822459098
0.6707180314801268,0.11273086167896829,0.31148724614359136,0.16093073177013995
0.6814447764787349,0.144849494348602,0.34221598710163953,0.16320362473858974
0.6714617156253575,0.13732729925161125,0.31681348148361493,0.15047113564124914
0.663570068440345,0.12172513708728472,0.3134457793614772,0.15209015448420182
0.6762356598105688,0.134889702291532,0.2854092808252873,0.14030617657590738
0.6272791248666915,0.12246648140250904,0.31397667815600727,0.15491045939725945
0.6500091135037082,0.1374955656262335,0.33598738811305934,0.1860947093663694
0.6883238119285172,0.13353504837454128,0.306111909490304,0.14716478173853909
0.6995473178909053,0.12755194546179788,0.3633604225351372,0.2065057745058656
0.6451952867720685,0.10973307366250429,0.3188078668149614,0.1584492374948696
0.6967130476046036,0.12435590993277695,0.31994101594485913,0.165622808498331
0.6762745709103137,0.12058666570996775,0.3177005833382653,0.16318663562379876
