nDCG,AUC,rND,GPA,Schedule
0.9069923758506775,0.8974660485566369,0.29031501940176957,0.08004828448974322,[1; 1]
0.9062577486038208,0.9017269968811993,0.3459695292279063,0.12546390402621188,[2; 1]
0.9111012816429138,0.8991244328545951,0.3326875429992198,0.12709966347357948,[3; 1]
0.9110656380653381,0.9028650873364639,0.33096550936841856,0.10594386316482063,[4; 1]
0.9115263819694519,0.8988424862716872,0.3408725918582102,0.12401750109467413,[5; 1]
0.9083772897720337,0.8979726894355169,0.34491471790182293,0.13228547796647971,[6; 1]
0.8996741771697998,0.8981720742278154,0.32456980189949064,0.12202438836913432,[7; 1]
0.9056969285011292,0.8963470851308663,0.27243192833265584,0.05936369620023896,[1; 2]
0.8841617107391357,0.8982483891434723,0.2987948075818003,0.08706930007387137,[2; 2]
0.9235871678590775,0.8999696929963644,0.3227514281088014,0.10094854744359849,[3; 2]
0.9091305136680603,0.9000838755663726,0.3298567691495009,0.1107365130173823,[4; 2]
0.9077051281929016,0.9004467095197997,0.3364701366691577,0.11941286419422747,[5; 2]
0.8977868556976318,0.8996768626828691,0.32650872365252415,0.11051969284826524,[6; 2]
0.896221935749054,0.89830853946518,0.3237511538801569,0.11556677828381157,[7; 2]
0.8750022053718567,0.8847067742657604,0.19904857125852504,0.006727803355324191,[1; 3]
0.9037882089614868,0.8985130119185221,0.29763823193574634,0.08581451547522889,[2; 3]
0.9021404981613159,0.9009865167966232,0.3192705455319694,0.09821763572573772,[3; 3]
0.9343454241752625,0.9004666737593384,0.3137199796295921,0.09716977297206963,[4; 3]
0.8972000479698181,0.9005362909946337,0.31867722380986957,0.09642299136862098,[5; 3]
0.9028903841972351,0.8999378790146475,0.3224479203761417,0.10663862685545689,[6; 3]
0.9056418538093567,0.9012747746552563,0.3268369439747461,0.10134074091368284,[7; 3]
0.8377227783203125,0.8702927221201971,0.13828934766734854,0.04660557945417165,[1; 4]
0.8959694504737854,0.8923861800063422,0.26275167437360164,0.04532792898795046,[2; 4]
0.9113060832023621,0.8975151219454391,0.29058645439646763,0.07244747698526421,[3; 4]
0.9076736569404602,0.8977510219758621,0.302406347437514,0.09344973652161948,[4; 4]
0.8927532434463501,0.8964812963411859,0.2845257529988346,0.06949847027230482,[5; 4]
0.9105011820793152,0.899666816162327,0.31435062041395445,0.09531592947705614,[6; 4]
0.9047049880027771,0.9008363341946722,0.32093576276429664,0.1036957484867086,[7; 4]
0.8707420229911804,0.8668247405099665,0.1502440873644811,0.052655508740324763,[1; 5]
0.8744389414787292,0.8849268961068701,0.20969437688016992,0.011474446787444803,[2; 5]
0.8881863951683044,0.895844887905303,0.2655922145608921,0.060169754797239405,[3; 5]
0.9009121656417847,0.8947254736741234,0.29069632913445814,0.08470568674418832,[4; 5]
0.9010630249977112,0.8961270920913018,0.28142475643193954,0.057578210985088196,[5; 5]
0.8937518000602722,0.8988647689390437,0.3008927531214188,0.08907456264478408,[6; 5]
0.905258297920227,0.9008566848388475,0.31544310966708117,0.10326779350695248,[7; 5]
0.8496983647346497,0.8510245905334469,0.12472024148379494,0.05471627122208744,[1; 6]
0.88006991147995,0.8798433567125311,0.21283197187800723,0.013454138147512285,[2; 6]
0.8938909769058228,0.8886475863492002,0.2500374703801585,0.042645596059910806,[3; 6]
0.8927067518234253,0.888530119339784,0.2754452807901769,0.06452650793974568,[4; 6]
0.8887051939964294,0.8983022925902273,0.2844358922613692,0.07027701245861517,[5; 6]
0.9095868468284607,0.8972548140221606,0.3176298542003019,0.0936866066729235,[6; 6]
0.9027204513549805,0.8978628217172802,0.295511963190698,0.08567949153782306,[7; 6]
0.8324568271636963,0.8526399551152375,0.11996325944936047,0.04178714786466342,[1; 7]
0.8673640489578247,0.8798012386071814,0.2151915284259552,0.011006272966041841,[2; 7]
0.8904173374176025,0.8836849916060032,0.23708290417221572,0.02985622924513487,[3; 7]
0.9016294479370117,0.892334272983541,0.24711544358872475,0.03657025365505806,[4; 7]
0.9030498266220093,0.8968968101266868,0.2865305815283246,0.0662049219451849,[5; 7]
0.9099505543708801,0.8943979313441395,0.29012694588649923,0.06603789891621825,[6; 7]
0.8959931135177612,0.8967635649279574,0.3057512804088711,0.0841279971202008,[7; 7]
0.8936926126480103,0.8987198672004547,0.3352029939259842,0.11829927734843704,BaseDR
