nDCG,AUC,rND,GPA,Schedule
0.8379136919975281,0.8832008909975704,0.2764479340986384,0.0981911504138323,[1; 1]
0.8118807077407837,0.8857724138517303,0.24260837935939608,0.059189609518002895,[2; 1]
0.8568692803382874,0.8832246548826992,0.2725803963423568,0.06466074284248025,[3; 1]
0.8640943765640259,0.8650087031204235,0.22695451828052496,0.03823123304472342,[4; 1]
0.8807300925254822,0.8829379426426109,0.24852177275030718,0.044128994945708766,[5; 1]
0.8721883893013,0.8890295473321208,0.27901386920260396,0.08673070012535611,[6; 1]
0.8581445813179016,0.8840191028148032,0.2698390204711587,0.06942172408445602,[7; 1]
0.7210449576377869,0.8643338474232349,0.23347366385652016,0.06935468174111281,[1; 2]
0.8381863832473755,0.880841955094114,0.343256212442766,0.16802702984871787,[2; 2]
0.8669441938400269,0.8856992545739361,0.29547214127430965,0.14908117086563022,[3; 2]
0.7812474370002747,0.8722269993284288,0.24490236094149753,0.07417953600978888,[4; 2]
0.8020662069320679,0.8714726730777207,0.27443346919074213,0.08188523822185323,[5; 2]
0.8602660298347473,0.8842942873165769,0.20087620420359073,0.017363566004369613,[6; 2]
0.7525528073310852,0.8607283701632764,0.19376181493065947,0.006868773567492714,[7; 2]
0.8903908133506775,0.8963173319738759,0.33728965364334007,0.1583086595864045,[1; 3]
0.87590491771698,0.8933861308041519,0.33408714717724086,0.15179105605527443,[2; 3]
0.8317903876304626,0.8696357698378208,0.21859853008818822,0.03965864200993641,[3; 3]
0.8152993321418762,0.8705943109387805,0.23765648902163997,0.08653800575679549,[4; 3]
0.8626374006271362,0.8893383490372471,0.29220338903976956,0.10897678969249136,[5; 3]
0.86003577709198,0.8810347710075964,0.31627780992423865,0.15747780780770126,[6; 3]
0.7939872145652771,0.8737587717072465,0.2908727178541449,0.11118399371590304,[7; 3]
0.7995349168777466,0.8740861208349122,0.3291853544956942,0.1652777022926909,[1; 4]
0.7734010219573975,0.8393527876904877,0.2276427140078886,0.05200435399295733,[2; 4]
0.5929879546165466,0.6695080502253898,0.08071020852380874,0.14418744099471548,[3; 4]
0.8608610033988953,0.8943255448756177,0.2893306948678715,0.09706085770634076,[4; 4]
0.8764986991882324,0.8897046606324002,0.3173616279175756,0.10497046299984758,[5; 4]
0.8261091709136963,0.8686720122742722,0.214046142391843,0.035349082259689024,[6; 4]
0.8267104029655457,0.867317921627351,0.2643819892202614,0.07903394916758244,[7; 4]
0.8083967566490173,0.8654166820155175,0.3351259206437963,0.16937642544167075,[1; 5]
0.59132319688797,0.8073255106144064,0.10934192515789745,0.03128901782319804,[2; 5]
0.8438743352890015,0.8766751606992481,0.3366161054556178,0.17141657197152138,[3; 5]
0.8369349837303162,0.8858944533160087,0.2777921352299204,0.10845357040943904,[4; 5]
0.8103837966918945,0.8820179132037298,0.2970542134189804,0.11920877830057541,[5; 5]
0.8786442279815674,0.8941207504184118,0.3331664130469426,0.1309975239603035,[6; 5]
0.841484546661377,0.8670994098055586,0.3062441086538828,0.13321131086493576,[7; 5]
0.869120180606842,0.8982764034795996,0.3085067347850251,0.10781646835214809,[1; 6]
0.7913408875465393,0.8502035450822153,0.2910402252080905,0.13852530445209188,[2; 6]
0.8866199851036072,0.8916379074282685,0.33319572710163586,0.13280412637159966,[3; 6]
0.7872612476348877,0.8904973697436412,0.3045031249704308,0.13631881730691853,[4; 6]
0.671025276184082,0.8374443995928841,0.2113488875824161,0.029200069991830002,[5; 6]
0.8011047840118408,0.8749371126454524,0.26387892229731164,0.07991514959553103,[6; 6]
0.5985941290855408,0.7863526905741226,0.088973515099614,0.09223147008790156,[7; 6]
0.7004269361495972,0.8626925293300439,0.29065680363436025,0.1533192757259979,[1; 7]
0.7233083248138428,0.862288478882085,0.3431489763076342,0.17746881750106192,[2; 7]
0.8577697277069092,0.8903118311174745,0.32074924969923263,0.12228824398869553,[3; 7]
0.8774653077125549,0.8889230284540645,0.2850096834449651,0.08753262762792269,[4; 7]
0.8913196921348572,0.8939821599555482,0.31223570705392034,0.12849460521767475,[5; 7]
0.8732728362083435,0.9028440926845616,0.30182692783374176,0.09680460630169108,[6; 7]
0.6388068795204163,0.7915858329634582,0.1626115333380994,0.003058460131429519,[7; 7]
0.06556937843561172,0.4896367564576587,0.09789512216937568,0.0963380789066744,BaseDR
