nDCG,AUC,rND,GPA,Schedule
0.8153105848943553,0.051329185520361975,0.027575029090517348,0.0008171424450328368,[1; 1]
0.797111506132349,0.05755090497737558,0.02650194033997672,0.00039465595838528156,[2; 1]
0.8190185408148738,0.053167420814479616,0.023294290993225913,0.0013513487696557025,[3; 1]
0.8263319762323009,0.05854072398190047,0.02427999861360091,0.0016251899510097978,[4; 1]
0.8060529264317371,0.05613687782805432,0.02762663305498621,0.0014648743733717273,[5; 1]
0.8302800186739385,0.053591628959275994,0.027635301382770008,0.0006834919731641964,[6; 1]
0.8151751100774485,0.05613687782805432,0.025851921489040655,0.001427415555535494,[7; 1]
0.828521404496113,0.06221719457013575,0.025303261145758243,0.002768140034870026,[1; 2]
0.8218001868226555,0.055288461538461564,0.024124795060500817,0.002221087145728995,[2; 2]
0.8249608238122756,0.05118778280542985,0.023628746032364336,0.0010927717071701482,[3; 2]
0.8402986303722195,0.058257918552036214,0.023557053055825828,0.002542592596916138,[4; 2]
0.8205022199812002,0.05839932126696834,0.02784174692454044,0.0013226295505696095,[5; 2]
0.8129559209777408,0.05260180995475111,0.024707589847613565,0.0010941986430916817,[6; 2]
0.781129343551572,0.0630656108597285,0.026844353870249627,0.0010549234592336365,[7; 2]
0.8053143795367363,0.05472285067873306,0.023336359127219482,0.0006687781735499332,[1; 3]
0.8168532182119703,0.05542986425339369,0.029134040180666843,0.002097327363285273,[2; 3]
0.8523832416448149,0.05755090497737558,0.027345017507660087,0.0009792312641265788,[3; 3]
0.8237332409663903,0.047935520361990946,0.0250084244236122,0.0010210344860845932,[4; 3]
0.8236206587812748,0.06334841628959276,0.028131606334732613,0.0021957093311293363,[5; 3]
0.8186156788077903,0.054298642533936625,0.024797743828931407,0.0015892347628800874,[6; 3]
0.8125115137009682,0.057126696832579205,0.027670073094095374,0.0025395650840513984,[7; 3]
0.8096182842822406,0.03577488687782804,0.025618967483874214,0.0003912757084364449,[1; 4]
0.8207130730904213,0.05500565610859731,0.023785939686656578,0.0022710816980240356,[2; 4]
0.8155831972533171,0.05613687782805432,0.02555171816514462,0.0010253924243129875,[3; 4]
0.8095535872656684,0.05288461538461536,0.02237434190901664,0.0017059603208203766,[4; 4]
0.83165943011053,0.048783936651583704,0.02971347572004001,0.0005093655530519214,[5; 4]
0.8227036076084604,0.06023755656108598,0.022985843941506982,0.0014273260414584543,[6; 4]
0.7932807769903272,0.06052036199095023,0.026192165601057704,0.0011359101405895577,[7; 4]
0.7435657228105598,0.054298642533936625,0.02813694033921104,0.00107056199299993,[1; 5]
0.8218568995866449,0.06278280542986425,0.027612013798398387,0.0028533984472703944,[2; 5]
0.8233265412274301,0.0565610859728507,0.02556118388098764,0.002116447372309427,[3; 5]
0.8374479009866163,0.05118778280542985,0.02746833990196628,0.0011518731262013526,[4; 5]
0.8352585568965776,0.058257918552036214,0.02295955356388426,0.0018513453776118904,[5; 5]
0.8303718185248469,0.05726809954751133,0.023895803545765777,0.0018256779161509584,[6; 5]
0.7988105546492819,0.05373303167420812,0.024867197587296955,0.0005646831139131114,[7; 5]
0.9994454988492136,0.1047794117647059,0.02393566766992713,0.004127786475497608,[1; 6]
0.8134553533298025,0.05627828054298645,0.02859724424260326,0.0015483819835666601,[2; 6]
0.836808808161122,0.047935520361990946,0.027702992288853055,0.0007588493320770384,[3; 6]
0.823428074575807,0.05585407239819007,0.02325934364865147,0.001752038963411029,[4; 6]
0.8108380467003631,0.05274321266968324,0.02510857728465926,0.0010932447561895486,[5; 6]
0.8386233232956558,0.05217760180995473,0.022183485464749138,0.001425100850800276,[6; 6]
0.7958757254588189,0.05811651583710409,0.029007536086935883,0.0011133350516230323,[7; 6]
0.957849139637766,0.05868212669683259,0.022766386385250203,0.0019508266600035684,[1; 7]
0.8313865724782523,0.0541572398190045,0.028746992578672408,0.002048960941993916,[2; 7]
0.7808491093700566,0.04850113122171945,0.023791910641593285,0.0006035773655349574,[3; 7]
0.8355460341426189,0.05288461538461536,0.02658635106805627,0.0012482042606297705,[4; 7]
0.8309410753372021,0.047935520361990946,0.02406773170274328,0.0015802899507476598,[5; 7]
0.8109260587039309,0.05613687782805432,0.024138468509296542,0.002325293697429953,[6; 7]
0.8163269127870252,0.05684389140271495,0.030397056833831725,0.0024468292753520027,[7; 7]
0.6610030392001395,0.0514705882352941,0.028711624024034123,0.0016492630516612428,[[1; 0]; [1; 5]]
