nDCG,AUC,rND,GPA
0.9294479732764528,0.14417091114883984,0.2244716052921453,0.015794397648353886
0.8721697514485786,0.09822196730714083,0.2731594734674486,0.004444863725174053
0.6549830536558755,0.08451704545454547,0.26089439711944856,0.02271202635272762
0.8046332982831281,0.038298473713962666,0.18520877718742995,0.08558286458030151
0.7047241199480342,0.09594095940959407,0.27659598766632804,0.024524030627075644
0.6108671077333985,0.0822695035460993,0.27669267428304517,0.017454637538079187
0.8510706288024228,0.0704622322435175,0.15430838590145707,0.059048018598580776
0.9061541584892395,0.11076750070283947,0.23478393641172424,0.023192281516861146
0.8929382799832317,0.0020935176492170786,0.18778662957081543,0.10584436620087379
0.9208119523287817,0.048475258918296904,0.2557533171702538,0.010040823371131657
0.6410219817761876,0.10633162975582056,0.24537703043811535,0.027279885927585235
0.9049740309282546,0.15477201925800055,0.29605256676764424,0.0009022834964487192
0.9213397014155414,0.08271640091116172,0.22465371851818608,0.0248673951599514
0.9732998427279174,0.07120786516853933,0.3264588827258591,0.0034012452672806948
0.9373266042844047,0.0715909090909091,0.19204048081967248,0.04741086698609909
0.6566912763687698,0.10830017055144969,0.23753001217733288,0.03268296878002286
0.9593535017007316,0.0931024694862333,0.2347901214872881,0.015122209761421979
0.8434708145093555,0.11804767309875142,0.2743792714805494,0.002086254990227965
0.8270440658209123,0.06094104308390025,0.18620456193865734,0.0663953397852699
0.9572110548103386,0.10093696763202725,0.27416341687268514,0.0015347985329969838
0.9452872580244613,0.10518814139110605,0.209646610055355,0.0756500171579324
0.943844667957235,0.1476405764340209,0.20986910903188413,0.0017022961943404802
0.8698742908781372,0.056627873971047404,0.20772743471319355,0.035086911184965874
0.8819800581341566,0.024102192876521517,0.2140162227351979,0.08177552585427716
0.9480258656552187,0.1476405764340209,0.20986910903188413,0.0017022961943404802
0.9449432640894847,0.10518814139110605,0.209646610055355,0.0756500171579324
0.8572964707133661,0.0469191633691351,0.2877784684104138,0.04705121680580904
0.8523482373586988,0.0704622322435175,0.15430838590145707,0.059048018598580776
0.6059984096219292,0.11071732350439467,0.1818168177245874,0.03094353412424622
0.8163127835600323,0.11261642675698563,0.27814628997239876,0.02814608488539605
